index, solution time(milliseconds)
1.1, 189
1.2, 189
1.3, 193
1.4, 190
1.5, 194
1.6, 190
1.7, 195
1.8, 196
1.9, 197
1.10, 246
2.1, 452
2.2, 458
2.3, 562
2.4, 500
2.5, 467
2.6, 510
2.7, 692
2.8, 542
2.9, 555
2.10, 454
3.1, 841
3.2, 833
3.3, 835
3.4, 850
3.5, 860
3.6, 844
3.7, 837
3.8, 846
3.9, 843
3.10, 864
4.1, 1369
4.2, 1350
4.3, 1352
4.4, 1358
4.5, 1357
4.6, 1376
4.7, 1359
4.8, 1366
4.9, 1363
4.10, 1390
5.1, 1994
5.2, 1998
5.3, 2440
5.4, 2226
5.5, 2422
5.6, 2595
5.7, 2029
5.8, 2045
5.9, 2032
5.10, 2135
6.1, 2888
6.2, 3487
6.3, 2811
6.4, 2809
6.5, 2809
6.6, 2809
6.7, 2805
6.8, 2802
6.9, 2810
6.10, 2808
7.1, 3698
7.2, 3712
7.3, 3731
7.4, 3728
7.5, 3761
7.6, 3732
7.7, 3706
7.8, 3711
7.9, 3701
7.10, 3716
8.1, 4741
8.2, 4850
8.3, 4771
8.4, 4768
8.5, 4788
8.6, 4760
8.7, 4790
8.8, 4774
8.9, 4779
8.10, 4776
9.1, 5955
9.2, 6151
9.3, 5945
9.4, 5958
9.5, 5955
9.6, 5964
9.7, 5960
9.8, 6004
9.9, 5967
9.10, 5971
10.1, 7260
10.2, 7828
10.3, 0
10.4, 0
10.5, 0
10.6, 0
10.7, 0
10.8, 0
10.9, 0
10.10, 0
