index, vertexes, solution time(milliseconds), graph type
1.1, 1000, 193, dense
1.2, 1000, 231, dense
1.3, 1000, 197, dense
1.4, 1000, 203, dense
1.5, 1000, 200, dense
1.6, 1000, 187, dense
1.7, 1000, 188, dense
1.8, 1000, 187, dense
1.9, 1000, 192, dense
1.10, 1000, 192, dense
2.1, 1500, 439, dense
2.2, 1500, 438, dense
2.3, 1500, 437, dense
2.4, 1500, 436, dense
2.5, 1500, 438, dense
2.6, 1500, 435, dense
2.7, 1500, 435, dense
2.8, 1500, 443, dense
2.9, 1500, 437, dense
2.10, 1500, 441, dense
3.1, 2000, 813, dense
3.2, 2000, 812, dense
3.3, 2000, 809, dense
3.4, 2000, 815, dense
3.5, 2000, 817, dense
3.6, 2000, 819, dense
3.7, 2000, 814, dense
3.8, 2000, 819, dense
3.9, 2000, 823, dense
3.10, 2000, 812, dense
4.1, 2500, 1318, dense
4.2, 2500, 1320, dense
4.3, 2500, 1305, dense
4.4, 2500, 1303, dense
4.5, 2500, 1319, dense
4.6, 2500, 1317, dense
4.7, 2500, 1315, dense
4.8, 2500, 1320, dense
4.9, 2500, 1320, dense
4.10, 2500, 1330, dense
5.1, 3000, 1946, dense
5.2, 3000, 1940, dense
5.3, 3000, 1966, dense
5.4, 3000, 1970, dense
5.5, 3000, 1986, dense
5.6, 3000, 1954, dense
5.7, 3000, 1952, dense
5.8, 3000, 1951, dense
5.9, 3000, 1953, dense
5.10, 3000, 2073, dense
6.1, 3500, 2817, dense
6.2, 3500, 3416, dense
6.3, 3500, 2836, dense
6.4, 3500, 2760, dense
6.5, 3500, 2798, dense
6.6, 3500, 3612, dense
6.7, 3500, 2728, dense
6.8, 3500, 4271, dense
6.9, 3500, 3890, dense
6.10, 3500, 3380, dense
7.1, 4000, 3989, dense
7.2, 4000, 3991, dense
7.3, 4000, 3857, dense
7.4, 4000, 4948, dense
7.5, 4000, 4017, dense
7.6, 4000, 4171, dense
7.7, 4000, 4917, dense
7.8, 4000, 4914, dense
7.9, 4000, 4712, dense
7.10, 4000, 4499, dense
8.1, 4500, 4976, dense
8.2, 4500, 4806, dense
8.3, 4500, 5365, dense
8.4, 4500, 4805, dense
8.5, 4500, 5675, dense
8.6, 4500, 5085, dense
8.7, 4500, 4929, dense
8.8, 4500, 5170, dense
8.9, 4500, 5288, dense
8.10, 4500, 4968, dense
9.1, 5000, 6819, dense
9.2, 5000, 6478, dense
9.3, 5000, 6599, dense
9.4, 5000, 5979, dense
9.5, 5000, 6624, dense
9.6, 5000, 5932, dense
9.7, 5000, 6384, dense
9.8, 5000, 6316, dense
9.9, 5000, 6226, dense
9.10, 5000, 7133, dense
10.1, 5500, 8292, dense
10.2, 5500, 8079, dense
10.3, 5500, 8729, dense
10.4, 5500, 25906, dense
10.5, 5500, 17918, dense
10.6, 5500, 19235, dense
10.7, 5500, 19177, dense
10.8, 5500, 23525, dense
10.9, 5500, 18295, dense
10.10, 5500, 15075, dense
Average times: 
iteration, vertexes, solution time(milliseconds), graph type
1, 1000, 197, dense
2, 1500, 437, dense
3, 2000, 815, dense
4, 2500, 1316, dense
5, 3000, 1969, dense
6, 3500, 3250, dense
7, 4000, 4401, dense
8, 4500, 5106, dense
9, 5000, 6449, dense
10, 5500, 16423, dense
