index, vertexes, solution time(milliseconds), graph type
1.1, 1000, 1, sparse
1.2, 1000, 1, sparse
1.3, 1000, 1, sparse
1.4, 1000, 1, sparse
1.5, 1000, 1, sparse
1.6, 1000, 1, sparse
1.7, 1000, 2, sparse
1.8, 1000, 1, sparse
1.9, 1000, 1, sparse
1.10, 1000, 1, sparse
2.1, 1200, 1, sparse
2.2, 1200, 1, sparse
2.3, 1200, 1, sparse
2.4, 1200, 1, sparse
2.5, 1200, 1, sparse
2.6, 1200, 1, sparse
2.7, 1200, 1, sparse
2.8, 1200, 1, sparse
2.9, 1200, 2, sparse
2.10, 1200, 1, sparse
3.1, 1400, 1, sparse
3.2, 1400, 1, sparse
3.3, 1400, 1, sparse
3.4, 1400, 1, sparse
3.5, 1400, 1, sparse
3.6, 1400, 1, sparse
3.7, 1400, 1, sparse
3.8, 1400, 1, sparse
3.9, 1400, 1, sparse
3.10, 1400, 1, sparse
4.1, 1600, 1, sparse
4.2, 1600, 2, sparse
4.3, 1600, 1, sparse
4.4, 1600, 1, sparse
4.5, 1600, 1, sparse
4.6, 1600, 1, sparse
4.7, 1600, 3, sparse
4.8, 1600, 2, sparse
4.9, 1600, 2, sparse
4.10, 1600, 2, sparse
5.1, 1800, 2, sparse
5.2, 1800, 2, sparse
5.3, 1800, 2, sparse
5.4, 1800, 1, sparse
5.5, 1800, 2, sparse
5.6, 1800, 2, sparse
5.7, 1800, 2, sparse
5.8, 1800, 2, sparse
5.9, 1800, 1, sparse
5.10, 1800, 1, sparse
6.1, 2000, 2, sparse
6.2, 2000, 2, sparse
6.3, 2000, 2, sparse
6.4, 2000, 4, sparse
6.5, 2000, 2, sparse
6.6, 2000, 2, sparse
6.7, 2000, 2, sparse
6.8, 2000, 2, sparse
6.9, 2000, 2, sparse
6.10, 2000, 2, sparse
7.1, 2200, 2, sparse
7.2, 2200, 2, sparse
7.3, 2200, 2, sparse
7.4, 2200, 2, sparse
7.5, 2200, 3, sparse
7.6, 2200, 2, sparse
